Заголовок;Содержимое;Описание;Категория;Артикул;Изображение;В наличии;Цена;Цена на распродаже;Начало распродажи;Время начала распродажи;Дата окончания распродажи;Время окончания распродажи;Масса;Размер;Мощность;Высота стекла;Рамка
SMART  2L h/2P h;;;Серия Smart;Sh962;;;3175.0;;;;;;170.0;;8 kW;450.0;шлифованная, полированная  стальная 
SMART  2L h/2P h;;;Серия Smart;Sh318;;;2730.0;;;;;;170.0;;8 kW;510.0;черная 
SMART  2L h/2P h;;;Серия Smart;Sh391;;;2805.0;;;;;;170.0;;8 kW;510.0;латунная 
SMART  2L h/2P h;;;Серия Smart;Sh359;;;2855.0;;;;;;170.0;;8 kW;510.0;узкая золотая  
SMART  2L h/2P h;;;Серия Smart;Sh145;;;3330.0;;;;;;170.0;;8 kW;510.0;широкая золотая  
SMART  2L h/2P h;;;Серия Smart;Sh888;;;2855.0;;;;;;170.0;;8 kW;510.0;узкая хромированная 
SMART  2L h/2P h;;;Серия Smart;Sh559;;;3330.0;;;;;;170.0;;8 kW;510.0;широкая хромированная 
SMART  2L h/2P h;;;Серия Smart;Sh885;;;3330.0;;;;;;170.0;;8 kW;510.0;шлифованная, полированная  стальная 
SMART  2L h/2P h;;;Серия Smart;Sh740;;;2880.0;;;;;;170.0;;8 kW;570.0;черная 
SMART  2L h/2P h;;;Серия Smart;Sh853;;;2955.0;;;;;;170.0;;8 kW;570.0;латунная 
SMART  2L h/2P h;;;Серия Smart;Sh905;;;3005.0;;;;;;170.0;;8 kW;570.0;узкая золотая  
SMART  2L h/2P h;;;Серия Smart;Sh693;;;3480.0;;;;;;170.0;;8 kW;570.0;широкая золотая  
SMART  2L h/2P h;;;Серия Smart;Sh116;;;3005.0;;;;;;170.0;;8 kW;570.0;узкая хромированная 
SMART  2L h/2P h;;;Серия Smart;Sh409;;;3480.0;;;;;;170.0;;8 kW;570.0;широкая хромированная 
SMART  2L h/2P h;;;Серия Smart;Sh706;;;3480.0;;;;;;170.0;;8 kW;570.0;шлифованная, полированная  стальная 
PRISMA M;;;Серия Prisma;Sh126;;;1630.0;;;;;;170.0;;8 kW;450.0;черная 
PRISMA M;;;Серия Prisma;Sh660;;;1700.0;;;;;;170.0;;8 kW;450.0;латунная 
PRISMA M;;;Серия Prisma;Sh579;;;1750.0;;;;;;170.0;;8 kW;450.0;узкая золотая  
PRISMA M;;;Серия Prisma;Sh104;;;2230.0;;;;;;170.0;;8 kW;450.0;широкая золотая  
